from,to,reason
related_papers\AI4S范式下新型电力系统中长期电力供需协同：内涵与架构_冯健冰.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\AI4S范式下新型电力系统中长期电力供需协同：内涵与架构_冯健冰.pdf,same_sha256
related_papers\AI大模型在能源系统规划的应用潜力及发展展望_方宇娟.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\AI大模型在能源系统规划的应用潜力及发展展望_方宇娟.pdf,same_sha256
related_papers\人工智能大模型在电力设备运维场景中的应用探讨_陈晓红 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\人工智能大模型在电力设备运维场景中的应用探讨_陈晓红 (2).pdf,same_sha256
related_papers\人工智能大模型在电力设备运维场景中的应用探讨_陈晓红.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\人工智能大模型在电力设备运维场景中的应用探讨_陈晓红.pdf,same_sha256
related_papers\人工智能驱动的配电系统规划辅助增强方法研究综述_向月.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\人工智能驱动的配电系统规划辅助增强方法研究综述_向月.pdf,same_sha256
related_papers\从“源网荷储碳数智”看大语言模型在新型电力系统中的应用_于淼.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\从“源网荷储碳数智”看大语言模型在新型电力系统中的应用_于淼.pdf,same_sha256
related_papers\光明电力大模型的能力与应用_邵博文.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\光明电力大模型的能力与应用_邵博文.pdf,same_sha256
related_papers\国家电网：以“光明”大模型点亮新型电力系统的“智慧之光”_木月.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\国家电网：以“光明”大模型点亮新型电力系统的“智慧之光”_木月.pdf,same_sha256
related_papers\基于多模态大模型与图神经网络的机场综合用能安全预测分析研究_吴飞.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于多模态大模型与图神经网络的机场综合用能安全预测分析研究_吴飞.pdf,same_sha256
related_papers\基于多模态大模型的电力巡检图像智能识别_王启其 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于多模态大模型的电力巡检图像智能识别_王启其 (2).pdf,same_sha256
related_papers\基于多模态大模型的电力巡检图像智能识别_王启其 (3).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于多模态大模型的电力巡检图像智能识别_王启其 (3).pdf,same_sha256
related_papers\基于多模态知识图谱的变电站设备智能运检关键技术研究_付旭辉 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于多模态知识图谱的变电站设备智能运检关键技术研究_付旭辉 (2).pdf,same_sha256
related_papers\基于大语言模型构建面向能源数字网络的知识图谱_周爱华 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于大语言模型构建面向能源数字网络的知识图谱_周爱华 (2).pdf,same_sha256
related_papers\基于知识图谱的电力系统人工智能文献计量学分析_赵云.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\基于知识图谱的电力系统人工智能文献计量学分析_赵云.pdf,same_sha256
related_papers\大型燃煤机组灵活智能发电控制策略研究及应用_黄婷 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大型燃煤机组灵活智能发电控制策略研究及应用_黄婷 (2).pdf,same_sha256
related_papers\大型燃煤机组灵活智能发电控制策略研究及应用_黄婷.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大型燃煤机组灵活智能发电控制策略研究及应用_黄婷.pdf,same_sha256
related_papers\大模型技术赋能电力系统的应用及技术路线展望_孙秋野 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大模型技术赋能电力系统的应用及技术路线展望_孙秋野 (2).pdf,same_sha256
related_papers\大模型技术赋能电力系统的应用及技术路线展望_孙秋野.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大模型技术赋能电力系统的应用及技术路线展望_孙秋野.pdf,same_sha256
related_papers\大模型赋能下“人工智能+电力”的融合实践研究——以智能巡检、安全督察与电网调度智能决策为例_何睿清 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大模型赋能下“人工智能+电力”的融合实践研究——以智能巡检、安全督察与电网调度智能决策为例_何睿清 (2).pdf,same_sha256
related_papers\大语言模型驱动的建筑环境营造与能源高效利用探索_张涛 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大语言模型驱动的建筑环境营造与能源高效利用探索_张涛 (2).pdf,same_sha256
related_papers\大语言模型驱动的建筑环境营造与能源高效利用探索_张涛.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\大语言模型驱动的建筑环境营造与能源高效利用探索_张涛.pdf,same_sha256
related_papers\推理大模型赋能新型电力系统智能决策：原理、应用与展望_余涛 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\推理大模型赋能新型电力系统智能决策：原理、应用与展望_余涛 (2).pdf,same_sha256
related_papers\电力人身安全共治智能：防控机理与关键技术_马富齐.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\电力人身安全共治智能：防控机理与关键技术_马富齐.pdf,same_sha256
related_papers\电力工程设计领域多模态知识图谱构建与应用研究_张小蓉 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\电力工程设计领域多模态知识图谱构建与应用研究_张小蓉 (2).pdf,same_sha256
related_papers\电力工程设计领域多模态知识图谱构建与应用研究_张小蓉.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\电力工程设计领域多模态知识图谱构建与应用研究_张小蓉.pdf,same_sha256
related_papers\电力领域多模态知识图谱的构建及应用研究_张云馨 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\电力领域多模态知识图谱的构建及应用研究_张云馨 (2).pdf,same_sha256
related_papers\电力领域多模态知识图谱的构建及应用研究_张云馨.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\电力领域多模态知识图谱的构建及应用研究_张云馨.pdf,same_sha256
related_papers\自主无人系统中激光雷达与相机的自动标定研究与应用_李星辰 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\自主无人系统中激光雷达与相机的自动标定研究与应用_李星辰 (2).pdf,same_sha256
related_papers\自主无人系统中激光雷达与相机的自动标定研究与应用_李星辰.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\自主无人系统中激光雷达与相机的自动标定研究与应用_李星辰.pdf,same_sha256
related_papers\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\跨界赋能：电力多模态大模型对商业银行智能风控的启示_施志晖.pdf,same_sha256
related_papers\长距离调水工程水量调度模型研究及开发_蒋跃华 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\长距离调水工程水量调度模型研究及开发_蒋跃华 (2).pdf,same_sha256
related_papers\长距离调水工程水量调度模型研究及开发_蒋跃华.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\长距离调水工程水量调度模型研究及开发_蒋跃华.pdf,same_sha256
related_papers\面向新型电力系统的故障诊断技术研究进展(二)：机器学习和大语言模型技术_张建良 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\面向新型电力系统的故障诊断技术研究进展(二)：机器学习和大语言模型技术_张建良 (2).pdf,same_sha256
related_papers\面向自然语言交互的电力巡检机器人任务规划_来钰钧 (2).pdf,related_papers\_duplicates_archive\exact_hash_duplicates\面向自然语言交互的电力巡检机器人任务规划_来钰钧 (2).pdf,same_sha256
related_papers\面向自然语言交互的电力巡检机器人任务规划_来钰钧.pdf,related_papers\_duplicates_archive\exact_hash_duplicates\面向自然语言交互的电力巡检机器人任务规划_来钰钧.pdf,same_sha256
related_papers\DeepSeek大模型在电力设备运维管理中的应用研究_毛腾蛟 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\DeepSeek大模型在电力设备运维管理中的应用研究_毛腾蛟 (1).pdf,duplicate_title_suffix
related_papers\国家电网：以“光明”大模型点亮新型电力系统的“智慧之光”_木月 (2).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\国家电网：以“光明”大模型点亮新型电力系统的“智慧之光”_木月 (2).pdf,duplicate_title_suffix
related_papers\基于GRULLaMA大模型的配电网运行状态智能感知推演方法及应用_白晨阳 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于GRULLaMA大模型的配电网运行状态智能感知推演方法及应用_白晨阳 (1).pdf,duplicate_title_suffix
related_papers\基于人工智能AI大模型的火电厂设备故障诊断技术研究_朱殿军 (1).pdf,related_papers\_duplicates_archive\title_suffix_duplicates\基于人工智能AI大模型的火电厂设备故障诊断技术研究_朱殿军 (1).pdf,duplicate_title_suffix
